96.691,134.68
105.61,134.79
119.49,141.08
137.41,148.04
158.73,155.22
68.474,93.715
87.5,101.23
104.69,101.23
105.88,109.99
107.35,115.38
125.55,119.75
127.76,124.8
131.8,120.54
134.38,128.28
141.08,116.05
151.93,118.07
155.61,127.5
164.25,130.42
173.16,132.32
93.934,85.634
39.982,64.871
38.695,41.751
62.224,22.671
91.085,31.874
111.95,46.577
122.43,50.281
122.24,41.751
138.79,46.352
132.08,58.361
156.07,61.055
162.59,53.984
187.32,62.065
190.9,76.992
198.81,80.135
86.489,17.733
94.853,13.58
171.42,34.343
159.65,47.587
229.69,72.727
