"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,-14.8596291152663
-178,-15.5493902617905
-176,-16.1386079583379
-174,-16.6005802486565
-172,-16.9101737002238
-170,-17.039800560902
-168,-16.9652273055908
-166,-16.6825758104466
-164,-16.2233201257366
-162,-15.6513462992553
-160,-15.0433631400605
-158,-14.4682888257799
-156,-13.9760834648742
-154,-13.5950733369336
-152,-13.3324457386973
-150,-13.1741173863013
-148,-13.0832623112341
-146,-13.0003506312104
-144,-12.8512796023286
-142,-12.5695759639087
-140,-12.1263572150503
-138,-11.5457430674804
-136,-10.8910472585177
-134,-10.2354356509427
-132,-9.63987313616677
-130,-9.14570978155278
-128,-8.77644739195792
-126,-8.54216385354036
-124,-8.44334740540293
-122,-8.47332050739922
-120,-8.61943647895085
-118,-8.86351982866497
-116,-9.1820951461529
-114,-9.54696249128048
-112,-9.92654952907296
-110,-10.288036143261
-108,-10.5995292510593
-106,-10.831095063437
-104,-10.9541057081924
-102,-10.940321336158
-100,-10.7638880961469
-98,-10.4083161542273
-96,-9.87566016865524
-94,-9.19083869583212
-92,-8.396535911192
-90,-7.54179599819087
-88,-6.6713457008783
-86,-5.81984022060901
-84,-5.01081295650892
-82,-4.25821391725706
-80,-3.56871670637454
-78,-2.94384637445261
-76,-2.38161429280164
-74,-1.8776499589718
-72,-1.42592347813333
-70,-1.01917241178632
-68,-0.649144078246684
-66,-0.306761787035171
-64,0.0176778142422251
-62,0.334178833419731
-60,0.652526233828458
-58,0.981570313035356
-56,1.32840332797522
-54,1.6976009654116
-52,2.09073542941209
-50,2.50631615233185
-48,2.94018937379406
-46,3.38628760003737
-44,3.83753255321392
-42,4.28669206735117
-40,4.72705359966336
-38,5.15286017097595
-36,5.55952159765242
-34,5.94365024393447
-32,6.30297982055896
-30,6.6362187574343
-28,6.94287628408919
-26,7.22308573110235
-24,7.47743852340115
-22,7.70683462170528
-20,7.91235055482703
-18,8.09512406383823
-16,8.25625401167849
-14,8.39671484468141
-12,8.51728584242169
-10,8.61849613599287
-8,8.70058671779069
-6,8.76349035807919
-4,8.80682962990505
-2,8.82993236498455
0,8.83186304405746
2,8.81146799197762
4,8.76743179925987
6,8.69834202888885
8,8.60275886135409
10,8.47928580056722
12,8.32663693067337
14,8.14369562532909
16,7.92955932093809
18,7.68356528906425
20,7.40529359192885
22,7.09454580840782
24,6.75130174334314
26,6.3756610099007
28,5.96778164628595
30,5.52783304605171
32,5.05598444352077
34,4.5524517862584
36,4.01762357677179
38,3.45227827290934
40,2.85788949284625
42,2.23698727125132
44,1.59350116144905
46,0.932955723481033
48,0.262334881724693
50,-0.410585477005588
52,-1.07856114155624
54,-1.73677073136873
56,-2.38487457213487
58,-3.02860364827462
60,-3.68029719769432
62,-4.35821297509032
64,-5.0849567972717
66,-5.88567568085317
68,-6.78658164343952
70,-7.81403111431995
72,-8.99393722303338
74,-10.3506910737998
76,-11.9035392601005
78,-13.6552502513209
80,-15.5607680613488
82,-17.4562867430684
84,-18.974985112728
86,-19.6811692027646
88,-19.5426396186217
90,-18.9709849327163
92,-18.3454666435885
94,-17.8337362956868
96,-17.4645399351003
98,-17.198652389242
100,-16.961477392138
102,-16.6630603364249
104,-16.2246677482797
106,-15.6103277111687
108,-14.8416671865476
110,-13.9820581697733
112,-13.1055582122
114,-12.2743495113041
116,-11.5315228239044
118,-10.9031426321923
120,-10.4029008992572
122,-10.0361541786709
124,-9.80255567557386
126,-9.69740340873571
128,-9.71198680425366
130,-9.83315051316506
132,-10.0422414259346
134,-10.313689459032
136,-10.6138114628019
138,-10.9010715857287
140,-11.1296624913783
142,-11.2578017923483
144,-11.2592745548621
146,-11.1326188616331
148,-10.9017877897181
150,-10.6077369235062
152,-10.296631224795
154,-10.0107534622838
156,-9.78422179492852
158,-9.64236782674465
160,-9.60284440088183
162,-9.67709400758725
164,-9.87150921882908
166,-10.1880431702448
168,-10.624213551495
170,-11.172519924163
172,-11.8193801793502
174,-12.5438855410098
176,-13.3170269613188
178,-14.1024379839982
180,-14.8596291152663
