"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,4.30316623000929
-178,4.73386890240249
-176,5.08407671243415
-174,5.35932427963472
-172,5.56596561785584
-170,5.71081876597639
-168,5.80097380193403
-166,5.84368795131623
-164,5.8463230200626
-162,5.81629628422068
-160,5.761023154518
-158,5.68783252551782
-156,5.60383668956678
-154,5.51573991329095
-152,5.42957631872688
-150,5.35038116286079
-148,5.28182027509665
-146,5.2258262752495
-144,5.18230843045447
-142,5.14900496244125
-140,5.12152599773726
-138,5.09359591383718
-136,5.05745944097484
-134,5.0043835517704
-132,4.92517773301898
-130,4.81066845727511
-128,4.65209068065926
-126,4.4413889890829
-124,4.17144602626345
-122,3.83627384279581
-120,3.43121683298679
-118,2.95322697504036
-116,2.4012867926015
-114,1.77707318674945
-112,1.08596751441875
-110,0.338494434187246
-108,-0.447857389148964
-106,-1.24684450124633
-104,-2.02284418373397
-102,-2.73343362455477
-100,-3.33723278802377
-98,-3.80645078388183
-96,-4.13858237629151
-94,-4.35956220087327
-92,-4.51616350041002
-90,-4.66346886190159
-88,-4.8549202971631
-86,-5.13804845736194
-84,-5.5548201179975
-82,-6.14438555723991
-80,-6.94651704906472
-78,-8.00427082299232
-76,-9.36238427435199
-74,-11.0480871273437
-72,-12.9849893379471
-70,-14.7247282503793
-68,-15.2510057894507
-66,-14.2075069843638
-64,-12.5716888713217
-62,-11.0971632401513
-60,-10.0046326245764
-58,-9.32429645255209
-56,-9.05185152632627
-54,-9.19096147053045
-52,-9.76178493589207
-50,-10.7916663691831
-48,-12.2561055476309
-46,-13.8350774520259
-44,-14.442610761158
-42,-13.1682348170786
-40,-10.9994928222304
-38,-8.97706834053253
-36,-7.38886384714069
-34,-6.24592950960927
-32,-5.50857780256435
-30,-5.13860014996878
-28,-5.10612087375168
-26,-5.38487113228026
-24,-5.94047089124701
-22,-6.70697017269491
-20,-7.54526948596532
-18,-8.20240031747054
-16,-8.3725482470463
-14,-7.93412016112521
-12,-7.07225997678254
-10,-6.07204875604207
-8,-5.12499793268462
-6,-4.31451649332589
-4,-3.66152263849985
-2,-3.1583472391955
0,-2.78531425029504
2,-2.51762207030828
4,-2.32793625857019
6,-2.18746624622335
8,-2.06694159383948
10,-1.93822584213683
12,-1.77675816977341
14,-1.56437533590595
16,-1.29151399212285
18,-0.957756312758801
20,-0.570355846339056
22,-0.141341660828214
24,0.315662897888749
26,0.78793684107335
28,1.26506040421264
30,1.73929894236099
32,2.20529016712128
34,2.65937483956692
36,3.09883684038553
38,3.52122813809959
40,3.9238765884598
42,4.30361279784968
44,4.65670479626651
46,4.97895701563079
48,5.2659150875173
50,5.51311963823841
52,5.71636609721043
54,5.87194696557348
56,5.97687202904933
58,6.02907693278141
60,6.02763994758059
62,5.97303033871038
64,5.86740869682121
66,5.71498711886562
68,5.52242958007849
70,5.29922255261002
72,5.05786847720952
74,4.81366230605861
76,4.58375408175613
78,4.38527701750269
80,4.23263162348324
82,4.13452829556353
84,4.09180764193128
86,4.09695797531582
88,4.13553130664498
90,4.18878900283537
92,4.23650665385109
94,4.2590962277426
96,4.23872429722449
98,4.15952371598259
100,4.00716522478128
102,3.76803428794515
104,3.4281552792936
106,2.9718887579739
108,2.38031803978789
110,1.62912998202023
112,0.685671087897959
114,-0.495218839163898
116,-1.97654505124521
118,-3.84168953278465
120,-6.16493014246167
122,-8.77741339190587
124,-10.3566196193714
126,-9.12048720617181
128,-6.59250861302186
130,-4.29908185680231
132,-2.48958563975198
134,-1.10501836845656
136,-0.0658926785396713
138,0.688546931034214
140,1.20155517065548
142,1.50418723884128
144,1.6196100599497
146,1.56634782911813
148,1.36109314362068
150,1.02181996786842
152,0.572028832578074
154,0.0469437055252139
156,-0.498318140412785
158,-0.981768422812054
160,-1.29865755193746
162,-1.35017364062984
164,-1.09156218433942
166,-0.559091372313729
168,0.154677432333242
170,0.949565621492223
172,1.74847450727619
174,2.50292642767553
176,3.18669474269696
178,3.78790729606199
180,4.30316623000929
