"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,0.545272319568187
-178,0.0566496124109128
-176,-0.439430565610876
-174,-0.929274550235401
-172,-1.39850170890973
-170,-1.83490504098129
-168,-2.23188014474037
-166,-2.59126984499429
-164,-2.92441845213978
-162,-3.25098774800474
-160,-3.59618477530973
-158,-3.98766146687678
-156,-4.45314426987937
-154,-5.01921469842269
-152,-5.71110672710462
-150,-6.55311079282782
-148,-7.56905638880335
-146,-8.78210606373611
-144,-10.2122736193349
-142,-11.8677188298151
-140,-13.7201891250887
-138,-15.6470899278616
-136,-17.3456235925488
-134,-18.3823095729729
-132,-18.5968014541668
-130,-18.3145532967161
-128,-17.9437706628768
-126,-17.6989420123034
-124,-17.6350700005776
-122,-17.7250176096806
-120,-17.9003434048748
-118,-18.0724034693592
-116,-18.1519000683399
-114,-18.0702329175007
-112,-17.7936598057415
-110,-17.3231563905957
-108,-16.6858306589421
-106,-15.92737097077
-104,-15.106361514794
-102,-14.2869464742163
-100,-13.5303688114674
-98,-12.8888917333903
-96,-12.4038439199698
-94,-12.1068566057248
-92,-12.0224581625584
-90,-12.1705347490475
-88,-12.5674858428063
-86,-13.2243110218292
-84,-14.137302633934
-82,-15.2606637733336
-80,-16.4425314764263
-78,-17.3385227000273
-76,-17.4988708101156
-74,-16.8116746719857
-72,-15.6395878853907
-70,-14.3745163520682
-68,-13.2100350759034
-66,-12.201979686573
-64,-11.3492504122603
-62,-10.6341976551036
-60,-10.0386509660336
-58,-9.54930960445988
-56,-9.15845873371518
-54,-8.86243543801957
-52,-8.65900429758829
-50,-8.54428825202612
-48,-8.50960279519716
-46,-8.53843822454906
-44,-8.60408077482289
-42,-8.66905236809332
-40,-8.68834122486075
-38,-8.61803883465404
-36,-8.42789735683545
-34,-8.11159980458568
-32,-7.68779233006636
-30,-7.19129889226866
-28,-6.66093894176272
-26,-6.13055769760038
-24,-5.6252794133604
-22,-5.16148308973426
-20,-4.74833836678679
-18,-4.38949166942815
-16,-4.08431727051978
-14,-3.82864057390976
-12,-3.61506756377408
-10,-3.43315337064576
-8,-3.26969591023492
-6,-3.10945767108825
-4,-2.93655063755917
-2,-2.73649679335166
0,-2.49860056284355
2,-2.21790899863251
4,-1.89598594540851
6,-1.54014585602784
8,-1.16146004311786
10,-0.772309031291013
12,-0.384251652610802
14,-0.00664285225325087
16,0.353945009640991
18,0.693670385438507
20,1.01097741843556
22,1.30596476566757
24,1.5797181963737
26,1.8337049759607
28,2.06928943376385
30,2.2874004763847
32,2.48835889644347
34,2.67185338515248
36,2.83703966982495
38,2.98272837343547
40,3.1076247111279
42,3.21058662552358
44,3.29087606037487
46,3.3483887738317
48,3.38385911491245
50,3.39904520998016
52,3.3969046563435
54,3.38176838442852
56,3.3595075167833
58,3.33766147107796
60,3.32545452707674
62,3.33358056721814
64,3.37360645628251
66,3.45687759197727
68,3.59294895866355
70,3.78780587138771
72,4.04237265211265
74,4.35185217647668
76,4.70618641595384
78,5.09148986727412
80,5.49195804888882
82,5.8916884049498
84,6.27603907958611
86,6.63241585195491
88,6.95057073697253
90,7.22257430478054
92,7.44261849022715
94,7.60676481791147
96,7.71270712242304
98,7.75958190905924
100,7.74783566639801
102,7.67914414475302
104,7.55637052275133
106,7.38354498204338
108,7.16584613903827
110,6.9095646811939
112,6.62203166362341
114,6.3114984703595
116,5.98696187242663
118,5.65793393636446
120,5.33415956936237
122,5.02528169011362
124,4.74044677224311
126,4.48783971166404
128,4.27414909014202
130,4.10400012021889
132,3.97944465303541
134,3.89963694407733
136,3.86081573717908
138,3.85664487385802
140,3.87886237973175
142,3.91810283820337
144,3.96472920058793
146,4.0095406621094
148,4.04428489070845
150,4.06196220054135
152,4.05694680164004
154,4.02496419229011
156,3.96296253487754
158,3.86890967788123
160,3.74154344432828
162,3.58010362394466
164,3.38407885988185
166,3.15300716607279
168,2.88637140367182
170,2.58362787912621
172,2.24439635686746
174,1.86882373199129
176,1.45811139246464
178,1.01516456160498
180,0.545272319568187
