"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,7.73655779277364
-178,7.39411480618938
-176,6.99495556548816
-174,6.54961527118765
-172,6.07307907668091
-170,5.58574844104207
-168,5.11359534242346
-166,4.68659058842736
-164,4.3346251843869
-162,4.08121826116575
-160,3.93717509207441
-158,3.89747653947524
-156,3.94330121617534
-154,4.0479347613164
-152,4.18334747758185
-150,4.32486917559804
-148,4.45327358932901
-146,4.55490539552627
-144,4.62079738665204
-142,4.64548773509398
-140,4.62591806707777
-138,4.56056024635119
-136,4.44879624898426
-134,4.29052261578703
-132,4.0859338548418
-130,3.83543773140504
-128,3.53966032577623
-126,3.19950615086309
-124,2.81624656382726
-122,2.39161677147989
-120,1.9279067718453
-118,1.4280339303979
-116,0.895584630469212
-114,0.334810459011978
-112,-0.249437696699887
-110,-0.851854354602505
-108,-1.46691536427713
-106,-2.08920625383923
-104,-2.71382358032326
-102,-3.33679830937839
-100,-3.95544919483086
-98,-4.56853083215878
-96,-5.17601007388209
-94,-5.77830573622049
-92,-6.3748825148005
-90,-6.96223110548282
-88,-7.53154714640878
-86,-8.06691424149588
-84,-8.54546337400582
-82,-8.94133738177644
-80,-9.23419399636931
-78,-9.4197129813388
-76,-9.5163043462551
-74,-9.56342456938095
-72,-9.61284165314081
-70,-9.71861711603763
-68,-9.93041575411409
-66,-10.2908751244138
-64,-10.8350459120539
-62,-11.5886354380159
-60,-12.5597855037795
-58,-13.7137317204032
-56,-14.9129386299937
-54,-15.8359296349218
-52,-16.0559985242337
-50,-15.4590613624819
-48,-14.3963248931346
-46,-13.2684849990956
-44,-12.2893281435482
-42,-11.5341698351842
-40,-11.0161697179278
-38,-10.7234548576499
-36,-10.6305130037852
-34,-10.6973868351985
-32,-10.8639098723612
-30,-11.0462097657856
-28,-11.1469795855933
-26,-11.0885118814694
-24,-10.8537025836984
-22,-10.4967559317333
-20,-10.1112897719292
-18,-9.78872331800299
-16,-9.59611882115373
-14,-9.57264222036583
-12,-9.73191636177939
-10,-10.0609889991201
-8,-10.5116334852477
-6,-10.9854676225437
-4,-11.3292762037961
-2,-11.3782705525188
0,-11.0563621062752
2,-10.436124785604
4,-9.67597790237942
6,-8.92142497783595
8,-8.26488491226392
10,-7.7528572032527
12,-7.40350198511323
14,-7.21937995997911
16,-7.19394230811958
18,-7.31350912975843
20,-7.55618169280909
22,-7.88868363539545
24,-8.26259773746173
26,-8.61334224853851
28,-8.8676191696323
30,-8.96336002355858
32,-8.87503176857181
34,-8.62513767925721
36,-8.2710684328451
38,-7.87955714585483
40,-7.50750641108407
42,-7.19526637171328
44,-6.96794891360815
46,-6.83921985871186
48,-6.81454766116437
50,-6.89284867344505
52,-7.06622231347869
54,-7.3175785386593
56,-7.6160769189792
58,-7.91125958147513
60,-8.12972352271783
62,-8.1828654519921
64,-7.99374626420487
66,-7.53388885897
68,-6.83908835463776
70,-5.98749301944479
72,-5.06255063774362
74,-4.12950653646906
76,-3.23038422418357
78,-2.38840601537703
80,-1.61417316725942
82,-0.910588032425385
84,-0.276105643847951
86,0.293295064658239
88,0.802967619178633
90,1.25894868624085
92,1.66758687688179
94,2.03531177636124
96,2.36845113919372
98,2.67303168966737
100,2.95452106659081
102,3.21749439610899
104,3.46524223905414
106,3.69937286465502
108,3.91948904683645
110,4.1230236573889
112,4.30529204369237
114,4.45976985277303
116,4.57855316617215
118,4.65292660321474
120,4.67396777959051
122,4.63315264359337
124,4.52298730103663
126,4.33777156044026
128,4.07469898380481
130,3.73562129951797
132,3.32992685304966
134,2.87896013571269
136,2.42178412970468
138,2.01991799466524
140,1.75444000726691
142,1.70641206756358
144,1.92195983000621
146,2.38633109381219
148,3.03268690493326
150,3.77628804148102
152,4.54370593317868
154,5.28356271386072
156,5.96460517900053
158,6.56983620892459
160,7.09114969059508
162,7.52557294944896
164,7.87292090365876
166,8.13441764907623
168,8.31192201473455
170,8.40752075784651
172,8.4233527087927
174,8.36159379941997
176,8.22457601802176
178,8.01504211476044
180,7.73655779277364
