"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,-8.89389929326059
-178,-9.10618699567446
-176,-9.32002834671626
-174,-9.47387462722937
-172,-9.49923751127245
-170,-9.347319782266
-168,-9.01464751033778
-166,-8.546209808102
-164,-8.01353351479853
-162,-7.48781077163135
-160,-7.02476128210448
-158,-6.66187723606795
-156,-6.42152653709938
-154,-6.31483082295654
-152,-6.34413723393314
-150,-6.50349173381997
-148,-6.77706442943945
-146,-7.13583126295338
-144,-7.53384146684112
-142,-7.90777248017415
-140,-8.18615043616044
-138,-8.31211479060022
-136,-8.27038735835799
-134,-8.09699285075926
-132,-7.86255128889213
-130,-7.64515611898671
-128,-7.51238983109293
-126,-7.51690240503646
-124,-7.70008006114435
-122,-8.09844456398735
-120,-8.75062557513292
-118,-9.70515791666338
-116,-11.0307971561612
-114,-12.8316612879231
-112,-15.2629866411801
-110,-18.4608264985388
-108,-21.6029584201009
-106,-21.0340988751041
-104,-17.9252881931309
-102,-15.274867711757
-100,-13.3673733401215
-98,-12.0331521342725
-96,-11.1324929055727
-94,-10.5738166029903
-92,-10.2963918308022
-90,-10.2571370432818
-88,-10.4214555314643
-86,-10.7554083715817
-84,-11.2171211351418
-82,-11.7466879685458
-80,-12.2576651015456
-78,-12.6410095423319
-76,-12.7963333392998
-74,-12.6835171996427
-72,-12.3484131835894
-70,-11.891701701942
-68,-11.4153024757998
-66,-10.9905835316513
-64,-10.652562446593
-62,-10.4049370970054
-60,-10.2262111677473
-58,-10.0757218376455
-56,-9.90266564351919
-54,-9.66064428524396
-52,-9.32453799102115
-50,-8.90016994500547
-48,-8.4196792306793
-46,-7.92663036708684
-44,-7.46130590087622
-42,-7.05251506381728
-40,-6.71560172387216
-38,-6.45367856538912
-36,-6.25974132676603
-34,-6.11868403308531
-32,-6.00920971679775
-30,-5.90610542748061
-28,-5.78338520968347
-26,-5.61836281857669
-24,-5.39587890574144
-22,-5.11119187605876
-20,-4.7702101742215
-18,-4.38694849951266
-16,-3.97943079694058
-14,-3.56568953593777
-12,-3.16094004892029
-10,-2.77615257803404
-8,-2.41770363208403
-6,-2.08766189695781
-4,-1.78437200520825
-2,-1.50316106117447
0,-1.23711739211809
2,-0.9779531378243
4,-0.71696304257314
6,-0.446042951070699
8,-0.158657908370875
10,0.149407885256641
12,0.479685107576327
14,0.83112358588498
16,1.20062388075736
18,1.58383599687509
20,1.97601300825325
22,2.37273207666252
24,2.77036849955646
26,3.16629008026445
28,3.55880245307599
30,3.94691339329474
32,4.32999950246327
34,4.70745803951995
36,5.07841399576599
38,5.44153036044589
40,5.7949416080406
42,6.13630262075437
44,6.46292403169398
46,6.77195468705074
48,7.06057296779954
50,7.32615785525716
52,7.56642302524366
54,7.77950863697731
56,7.96403337864807
58,8.11911317068383
60,8.24435342627159
62,8.33982019466856
64,8.40599315514385
66,8.44370133719104
68,8.45404135142825
70,8.43827824792355
72,8.39773098288958
74,8.3336476387126
76,8.2470794093344
78,8.1387660079266
80,8.00904747781332
82,7.85781740283578
84,7.68452968481229
86,7.4882655528034
88,7.26786017480482
90,7.02208047216574
92,6.74983877627224
94,6.45042166517084
96,6.12370995212341
98,5.77036428552981
100,5.39195116274618
102,4.9909868706517
104,4.57088305275489
106,4.13578847006089
108,3.69033724335055
110,3.23933226152032
112,2.78740846812395
114,2.33872786605181
116,1.89675171667047
118,1.46411655149925
120,1.04261662967946
122,0.633276264694097
124,0.236486945948238
126,-0.147815956523317
128,-0.519962874688767
130,-0.880381947960132
132,-1.22950783351255
134,-1.56783740781849
136,-1.89619300465078
138,-2.21620189299276
140,-2.5309075381813
142,-2.84532575971768
144,-3.16670150276397
146,-3.50425219151579
148,-3.86829303291281
150,-4.26876419889687
152,-4.71324775977268
154,-5.20456063466848
156,-5.73802428850361
158,-6.29872742436907
160,-6.85973969431754
162,-7.38329974548282
164,-7.82759497909146
166,-8.15972564913089
168,-8.36982550079137
170,-8.4770153556617
172,-8.52232540280622
174,-8.55374078581549
176,-8.61233461385931
178,-8.7237565514998
180,-8.89389929326059
