"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,-8.51789767286823
-178,-8.32454964756025
-176,-8.14482343546407
-174,-7.95384716808416
-172,-7.72608284939229
-170,-7.4404338578039
-168,-7.08483061075921
-166,-6.65843910502795
-164,-6.17045092670601
-162,-5.63617393201233
-160,-5.07236885214125
-158,-4.49361003145682
-156,-3.91042583172175
-154,-3.32906020015691
-152,-2.75229939894628
-150,-2.18079401484124
-148,-1.61443189643224
-146,-1.05345463692614
-144,-0.499138001097523
-142,0.0460158952409603
-140,0.578509017490618
-138,1.09435334987152
-136,1.58967964826192
-134,2.06130180598874
-132,2.5071418810252
-130,2.92647341342102
-128,3.31997833944006
-126,3.68963376188117
-124,4.03845529733045
-122,4.3701312759803
-120,4.68859107908029
-118,4.9975607320596
-116,5.30016470909039
-114,5.59862873161104
-112,5.8941210257345
-110,6.18674175143333
-108,6.47564031315704
-106,6.75921776389518
-104,7.03536291707667
-102,7.30167643623189
-100,7.5556523338073
-98,7.79480434376448
-96,8.01674007867112
-94,8.21919587734649
-92,8.40004934183261
-90,8.55732578011324
-88,8.68921071601435
-86,8.79407491946064
-84,8.87051243891879
-82,8.91738696314696
-80,8.9338782497838
-78,8.91951875610097
-76,8.87421111388113
-74,8.798219559155
-72,8.69213245961934
-70,8.55679801946479
-68,8.3932401686655
-66,8.20256547764321
-64,7.98587365321613
-62,7.74418314829591
-60,7.47837977169049
-58,7.18919087812123
-56,6.87718232160168
-54,6.5427715078037
-52,6.18624870327964
-50,5.80780049216159
-48,5.4075332915061
-46,4.98549997849562
-44,4.54173764869989
-42,4.0763281922477
-40,3.58949491252525
-38,3.08174722115678
-36,2.55408097037868
-34,2.00823343470896
-32,1.44697798878324
-30,0.874422263564443
-28,0.296243606048227
-26,-0.280240756122077
-24,-0.846302815101075
-22,-1.39246599158188
-20,-1.90966445999594
-18,-2.39079884764911
-16,-2.83236156031022
-14,-3.23563717162865
-12,-3.60702171281331
-10,-3.95728867956326
-8,-4.30000997799978
-6,-4.64958409956483
-4,-5.01931359118644
-2,-5.41978079255783
0,-5.8575560873005
2,-6.33416073887144
4,-6.84524628871766
6,-7.38014672268781
8,-7.92226868469073
10,-8.45105805058083
12,-8.94616596316939
14,-9.39352055095522
16,-9.79144487106004
18,-10.1540263916207
20,-10.5100724919699
22,-10.8986418810033
24,-11.3639285965715
26,-11.9518343210091
28,-12.7087811247908
30,-13.6812947200789
32,-14.9115817675948
34,-16.4140063794837
36,-18.085324785732
38,-19.4697543165056
40,-19.6901515940423
42,-18.5182851730715
44,-16.7876207016467
46,-15.153769988058
48,-13.8272791500124
50,-12.8380199392235
52,-12.1705137569233
54,-11.8027674284631
56,-11.7126235130526
58,-11.8720329566852
60,-12.2318156349628
62,-12.6945281629038
64,-13.0834285686954
66,-13.1577364064775
68,-12.7461870259739
70,-11.8997490075481
72,-10.8353543184413
74,-9.7616717318666
76,-8.80384732545538
78,-8.01912407928487
80,-7.42814699960351
82,-7.0357043747623
84,-6.8415230759814
86,-6.84562817542991
88,-7.05129372084836
90,-7.46723172286511
92,-8.10999804392232
94,-9.00743642364158
96,-10.2041745937351
98,-11.7704753023525
100,-13.8140944425057
102,-16.4738171058597
104,-19.6899108502425
106,-21.7542955248683
108,-20.0313759559802
110,-17.1528240515926
112,-14.84498234445
114,-13.1778158764093
116,-12.0206805157432
118,-11.2739741825424
120,-10.8759034132098
122,-10.7905327504545
124,-10.9981681496853
126,-11.4871954879812
128,-12.2428570977418
130,-13.2242281343708
132,-14.3145385688542
134,-15.2451496812611
136,-15.6115262532538
138,-15.1935915167782
140,-14.2252768143113
142,-13.1029266702308
144,-12.0783860171966
146,-11.252329408171
148,-10.6484953720714
150,-10.2591647945462
152,-10.0634173895669
154,-10.0321401202764
156,-10.1274347175811
158,-10.3003975163423
160,-10.4907971355899
162,-10.6328866758769
164,-10.6699004699685
166,-10.5725125239829
168,-10.3486444367895
170,-10.0360056481311
172,-9.68342111422982
174,-9.33398439320714
176,-9.01663774527425
178,-8.74474472058651
180,-8.51789767286823
