"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,3.55459822478037
-178,3.90418781461984
-176,4.15733360590383
-174,4.31698440508238
-172,4.38730722819044
-170,4.37323183301898
-168,4.2802063039912
-166,4.11410384250726
-164,3.88125566234365
-162,3.58861260613066
-160,3.24406440483922
-158,2.85697264175394
-156,2.43899529660445
-154,2.00527201946788
-152,1.57593894313755
-150,1.17764353754548
-148,0.844137148360598
-146,0.61428664845396
-144,0.525788514031023
-142,0.604870212461774
-140,0.856267926509173
-138,1.25992742380828
-136,1.77705698696363
-134,2.36141825475654
-132,2.96938098432869
-130,3.56537546820967
-128,4.1231561670088
-126,4.6247524832053
-124,5.05867082426624
-122,5.41816957008198
-120,5.69989430591766
-118,5.90290108456618
-116,6.02800587155883
-114,6.07738544023328
-112,6.05436773084147
-110,5.96336572721277
-108,5.80991975761704
-106,5.60081571379813
-104,5.34423985483649
-102,5.04991499391264
-100,4.72914146297117
-98,4.39464868834914
-96,4.06016639816281
-94,3.73966891784998
-92,3.44634146864076
-90,3.1914414027499
-88,2.98331646468575
-86,2.82682294487594
-84,2.72324063119394
-82,2.67058478722045
-80,2.66409229220148
-78,2.6966807252647
-76,2.75930782786255
-74,2.84128937269031
-72,2.9306818040483
-70,3.01479217670888
-68,3.08079368477178
-66,3.11636295243395
-64,3.11024645788247
-62,3.05270079992547
-60,2.93580891018055
-58,2.75372824002013
-56,2.50296432892649
-54,2.18277612981595
-52,1.79579483286244
-50,1.34884817916967
-48,0.853786409049847
-46,0.327780694882423
-44,-0.20779989138977
-42,-0.730881529979978
-40,-1.22466780784604
-38,-1.68436746367209
-36,-2.12128677307186
-34,-2.56155217146757
-32,-3.03968311841566
-30,-3.5895700676252
-28,-4.23477482515447
-26,-4.97732467580549
-24,-5.78204551573688
-22,-6.55640389082837
-20,-7.1425966525994
-18,-7.36595330825971
-16,-7.15101509256012
-14,-6.58679798260939
-12,-5.84826472537031
-10,-5.08639491166944
-8,-4.39080243823926
-6,-3.80260438600556
-4,-3.33532379786454
-2,-2.98926720386608
0,-2.75925866026073
2,-2.63817806499878
4,-2.61807646831895
6,-2.68978179871639
8,-2.84136402024803
10,-3.05557099530607
12,-3.30640726736136
14,-3.55563436733535
16,-3.75140847240735
18,-3.83306020266447
20,-3.74539334284431
22,-3.45896405435474
24,-2.98321920465618
26,-2.36128380901558
28,-1.65101959219557
30,-0.906785033409411
32,-0.170302506990411
34,0.53041009922014
36,1.17833521539726
38,1.76407307590803
40,2.28307340577542
42,2.73373645677008
44,3.11625059058805
46,3.43195233153583
48,3.68301531616536
50,3.87231516385338
52,4.00335566431986
54,4.08017696201231
56,4.10720295699469
58,4.08902588242937
60,4.03016906772236
62,3.93490588758461
64,3.8072305014545
66,3.65106143553572
68,3.47070716158937
70,3.27153922703391
72,3.0607167040676
74,2.84770371595501
76,2.64424867407225
78,2.46350685697115
80,2.31817170469137
82,2.2178792538632
84,2.16663771314129
86,2.16127019387362
88,2.1915354398792
90,2.24182054381631
92,2.29361492922253
94,2.32782213793163
96,2.32630368186248
98,2.27251482399503
100,2.15139691185494
102,1.94877610162319
104,1.65046237026023
106,1.24113503551558
108,0.702989894783753
110,0.0140201042183489
112,-0.854291939655788
114,-1.94013812928862
116,-3.29535780882657
118,-4.98783514157867
120,-7.08653127159608
122,-9.54224993932556
124,-11.6427931245331
126,-11.596896342943
128,-9.54529615684683
130,-7.25949436727124
132,-5.36343967271756
134,-3.88913234897245
136,-2.76932985543555
138,-1.93970220015024
140,-1.35068731197759
142,-0.964686829429788
144,-0.752113261895028
146,-0.688164859783724
148,-0.750124853255717
150,-0.914637947983633
152,-1.15441923638853
154,-1.4341277545967
156,-1.70607736053159
158,-1.90856616400695
160,-1.97222116981898
162,-1.83862120935745
164,-1.48503633783764
166,-0.936697163299416
168,-0.254687801775365
170,0.48961354356295
172,1.23458769333153
174,1.93590988856598
176,2.56552382600534
178,3.10760888025781
180,3.55459822478037
