"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,5.83247733027365
-178,5.50365181144258
-176,5.12650091434031
-174,4.71259195885166
-172,4.27782985252228
-170,3.84319609554732
-168,3.43450268802314
-166,3.0802519821218
-164,2.80701353814539
-162,2.63302732273249
-160,2.56256465014761
-158,2.58416949572844
-156,2.6739493936252
-154,2.80202131870297
-152,2.93888847586724
-150,3.05962110326091
-148,3.14554548391568
-146,3.18421084401504
-144,3.1685550956265
-142,3.09591968465451
-140,2.96725209752998
-138,2.78660246388298
-136,2.56085226368358
-134,2.29947191036711
-132,2.01399016782065
-130,1.7168304057749
-128,1.41932753770273
-126,1.12914211622392
-124,0.847801265674695
-122,0.569354235149004
-120,0.28080459315072
-118,-0.0358059266644204
-116,-0.400467053325043
-114,-0.832337787635342
-112,-1.34745954490399
-110,-1.95700544299128
-108,-2.6656317100672
-106,-3.46932044781484
-104,-4.3521413484053
-102,-5.28177904741415
-100,-6.20497669929169
-98,-7.04676508120338
-96,-7.72015267115548
-94,-8.14988301200949
-92,-8.29988855436737
-90,-8.18307614659192
-88,-7.84647865852446
-86,-7.34864761218738
-84,-6.74605172132631
-82,-6.08943551511689
-80,-5.42369428548737
-78,-4.78741359752104
-76,-4.21188797794901
-74,-3.72046815018502
-72,-3.32854204500484
-70,-3.04384487440292
-68,-2.86659079331203
-66,-2.78899489641354
-64,-2.79396840469113
-62,-2.85318393352045
-60,-2.92555374233381
-58,-2.95852505086035
-56,-2.89553791514502
-54,-2.69085089861732
-52,-2.3261092868597
-50,-1.8174394496314
-48,-1.20728701334241
-46,-0.547710169314718
-44,0.113800126434699
-42,0.741020226537815
-40,1.30975700000345
-38,1.80594816924297
-36,2.22330080664243
-34,2.56134575311199
-32,2.8240308483756
-30,3.01868576026109
-28,3.1551338773424
-26,3.2447689397252
-24,3.29950716156136
-22,3.33065062404491
-20,3.34782409027699
-18,3.35822065677157
-16,3.36635932151781
-14,3.37441600272841
-12,3.38300403873072
-10,3.39214532213204
-8,3.40214532577113
-6,3.41415220103747
-4,3.43028935694495
-2,3.45335681888847
0,3.48618239770987
2,3.53077082044398
4,3.58744556878326
6,3.65418860664511
8,3.72633892555182
10,3.79671305235678
12,3.85609174294455
14,3.89392554900853
16,3.89908137738149
18,3.86048199454507
20,3.76755318095331
22,3.61045678177647
24,3.38013255364872
26,3.06819358537133
28,2.66672545605841
30,2.16803819151944
32,1.56442354134448
34,0.847992446110645
36,0.0107344619534117
38,-0.95489257713891
40,-2.0541466449896
42,-3.28540656666409
44,-4.62956301015017
46,-6.0280163188764
48,-7.34701398548211
50,-8.35591334990465
52,-8.80912046963895
54,-8.64834420246197
56,-8.06357246089575
58,-7.31001567400539
60,-6.56141321259116
62,-5.90080780340242
64,-5.35641861895481
66,-4.92892899205396
68,-4.60503833014702
70,-4.3629897256352
72,-4.1747426961303
74,-4.00768435663187
76,-3.82766439321919
78,-3.60400004579894
80,-3.31542816308186
82,-2.95443289739482
84,-2.52750936679378
86,-2.05118068982908
88,-1.54604025355951
90,-1.03159004738898
92,-0.523329388671259
94,-0.032033655686355
96,0.435561639486844
98,0.875475008058817
100,1.28514133390973
102,1.66232077933734
104,2.0043777092679
106,2.30794190312333
108,2.56889406359605
110,2.78257805441131
112,2.94413073727033
114,3.0488329672748
116,3.09241473794674
118,3.07128533775723
120,2.98270068456311
122,2.82492497412108
124,2.5974971681485
126,2.30178133041714
128,1.94206639530833
130,1.52756875480989
132,1.0756957468617
134,0.616587470346339
136,0.197694778287923
138,-0.115612953728684
140,-0.250312691231146
142,-0.150413466158956
144,0.195484627355549
146,0.747038112579656
148,1.43260908922962
150,2.17812085788771
152,2.92472332209399
154,3.63266863439328
156,4.27798724663832
158,4.84760139063644
160,5.33526420475098
162,5.73876841971052
164,6.05819224094913
166,6.29485173982387
168,6.45070148357458
170,6.52801587866856
172,6.52925407810317
174,6.45705964319979
176,6.31437898892505
178,6.10470601312195
180,5.83247733027365
