"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,-15.0556150520343
-178,-16.0466200792598
-176,-16.1793580749949
-174,-15.3675210352325
-172,-14.0853731769232
-170,-12.7887433352249
-168,-11.6898886527587
-166,-10.8569197560908
-164,-10.3050763496015
-162,-10.0359405627602
-160,-10.0507107262214
-158,-10.3524888476853
-156,-10.9406811924879
-154,-11.7911600234155
-152,-12.8033174582443
-150,-13.697032718635
-148,-13.9791908651412
-146,-13.3312185908178
-144,-12.0343945363095
-142,-10.5824834399858
-140,-9.26464545208887
-138,-8.18265112015382
-136,-7.35565407892054
-134,-6.77591279262464
-132,-6.43007724844759
-130,-6.30641188342241
-128,-6.39698607201095
-126,-6.69807856277456
-124,-7.20973682564743
-122,-7.93430762161143
-120,-8.87257825062228
-118,-10.0138413829805
-116,-11.311442627871
-114,-12.6308155872929
-112,-13.6828813494547
-110,-14.0825714160157
-108,-13.6826502200264
-106,-12.7459677124131
-104,-11.6290855963593
-102,-10.5404322830505
-100,-9.55573468949368
-98,-8.68675427528393
-96,-7.92262015206999
-94,-7.24811738541401
-92,-6.65067639819895
-90,-6.12219615877967
-88,-5.658414266588
-86,-5.25717825771534
-84,-4.91643105851658
-82,-4.63241697108591
-80,-4.39839988314589
-78,-4.20406314546018
-76,-4.03571355199879
-74,-3.87736366235129
-72,-3.7126168929078
-70,-3.52699094229159
-68,-3.31000695260045
-66,-3.05630264106909
-64,-2.7653746927529
-62,-2.44017041254405
-60,-2.08522666628502
-58,-1.70510778634242
-56,-1.30358499176248
-54,-0.883597301593525
-52,-0.447752414369897
-50,0.000974507438532614
-48,0.458645636537522
-46,0.920054129811376
-44,1.37875813873979
-42,1.82739856666934
-40,2.25818528070373
-38,2.66342905851818
-36,3.03602494319105
-34,3.36983529253635
-32,3.65996016606386
-30,3.90290991781113
-28,4.09670861248148
-26,4.24095984882615
-24,4.33690227211027
-22,4.38747293591942
-20,4.3973834828036
-18,4.37319618270138
-16,4.32336322791648
-14,4.25816431224044
-12,4.18945089295746
-10,4.13009628925173
-8,4.09308326047134
-6,4.09025626067755
-4,4.13091660929095
-2,4.22058461557812
0,4.36029340648303
2,4.54664759590265
4,4.77261899096264
6,5.02880418095552
8,5.30476764327497
10,5.59016155472774
12,5.87547065138711
14,6.15237947139801
16,6.41384770234404
18,6.65400563689398
20,6.86796891351848
22,7.05164342254061
24,7.20156234108884
26,7.3147742556558
28,7.38878587616339
30,7.42155444247274
32,7.41152233098505
34,7.35768808132562
36,7.25971240955636
38,7.11806288601431
40,6.93420466049776
42,6.71084423187885
44,6.45222532453727
46,6.16445618352814
48,5.85581194278373
50,5.53690370838595
52,5.22054834508953
54,4.92114181273728
56,4.65339071909707
58,4.43044593124938
60,4.26179215483682
62,4.15152554682141
64,4.09766140393047
66,4.0927486601132
68,4.1255197215668
70,4.18293325087463
72,4.25197294554419
74,4.32084530031332
76,4.37953642994419
78,4.41988465534634
80,4.43538137076948
82,4.42088094412677
84,4.37233842504604
86,4.28663557475686
88,4.16151354787588
90,3.99560489053473
92,3.7885441778458
94,3.54113042444415
96,3.25551072524795
98,2.93534997100041
100,2.58594416010498
102,2.21422531929353
104,1.82859799802917
106,1.43854807797714
108,1.05398443315613
110,0.684321603366151
112,0.337386274220539
114,0.0183128086369095
116,-0.271354058990534
118,-0.53414618423412
120,-0.776638335026073
122,-1.0089201658037
124,-1.24371849558184
126,-1.4953648915561
128,-1.77877641104934
130,-2.108538454578
132,-2.49808229568735
134,-2.95885592879269
136,-3.49929542336878
138,-4.12330552116479
140,-4.82786131830058
142,-5.59933894931568
144,-6.40858589672538
146,-7.20624466504696
148,-7.9230957593697
150,-8.48323403743134
152,-8.83278550852368
154,-8.96869227784733
156,-8.94191398891476
158,-8.83204612832994
160,-8.71742944766375
162,-8.65966316597485
164,-8.70224761521455
166,-8.87553627999808
168,-9.20247696612873
170,-9.7029861259913
172,-10.3962042570268
174,-11.2993222518868
176,-12.4186164507411
178,-13.7202716553235
180,-15.0556150520343
