"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,2.16387035834574
-178,2.61934354891379
-176,3.00812829769224
-174,3.33391838214135
-172,3.60120398330021
-170,3.81471987886427
-168,3.97910911059106
-166,4.09874758257665
-164,4.17770090388166
-162,4.21979278624629
-160,4.22876022338369
-158,4.20845937243065
-156,4.16307203892496
-154,4.09725066824535
-152,4.01613537961133
-150,3.92518654710245
-148,3.82980700343356
-146,3.73478047178339
-144,3.64361747101087
-142,3.55795289524391
-140,3.47715095821197
-138,3.39822650412521
-136,3.3161002324523
-134,3.22410971219951
-132,3.11464065907602
-130,2.97974140223217
-128,2.81162441758288
-126,2.60301366380724
-124,2.34734156649578
-122,2.03882591591693
-120,1.67246862003001
-118,1.24402554012153
-116,0.750011327115055
-114,0.187836968632259
-112,-0.443757043135187
-110,-1.14369983279735
-108,-1.90659351771385
-106,-2.71914245111659
-104,-3.55453502725111
-102,-4.36541436183308
-100,-5.07954612245203
-98,-5.60799462775751
-96,-5.87532844245201
-94,-5.86074792383607
-92,-5.61362832665378
-90,-5.22616608194899
-88,-4.79191875505925
-86,-4.38190691013407
-84,-4.04103659112028
-82,-3.79361961904253
-80,-3.64977502505928
-78,-3.60985345452741
-76,-3.66667198555568
-74,-3.80612302791194
-72,-4.00691726876892
-70,-4.240438299563
-68,-4.47198529427069
-66,-4.66463276745669
-64,-4.78578259220239
-62,-4.81408931402551
-60,-4.74263350787448
-58,-4.57571062249182
-56,-4.32101824490395
-54,-3.98232434195186
-52,-3.55721446601909
-50,-3.04130359935336
-48,-2.43639176047643
-46,-1.75729985474478
-44,-1.03281321084116
-42,-0.300444191902158
-40,0.40126677874255
-38,1.03893249483755
-36,1.58742803494221
-34,2.03051228974888
-32,2.36021443821132
-30,2.57596358465111
-28,2.68395111852318
-26,2.69681969577307
-24,2.63347998514144
-22,2.51860886923266
-20,2.38120312630834
-18,2.25162825410594
-16,2.15717481596311
-14,2.11720900032022
-12,2.13989305011062
-10,2.2221188111699
-8,2.35263358332401
-6,2.51667725355625
-4,2.70012374848444
-2,2.89200980194993
0,3.08540211972168
2,3.27711707280167
4,3.46686613279384
6,3.65623107394688
8,3.84768469710333
10,4.04374468821789
12,4.24628485455916
14,4.4560097792008
16,4.67210308246103
18,4.89206580801667
20,5.11175598695201
22,5.32561941424834
24,5.52707246818537
26,5.70897388358802
28,5.86411479197455
30,5.98566757674455
32,6.06755824104856
34,6.10475449037135
36,6.09348448963077
38,6.03141492929413
40,5.91782040162605
42,5.7537690091983
44,5.54233082049503
46,5.2887845112747
48,5.00075264432506
50,4.68814342566656
52,4.36273731027504
54,4.0372722750559
56,3.7240028912236
58,3.43295012798419
60,3.17033568744752
62,2.93781703432422
64,2.7329446694409
66,2.55080048165712
68,2.38631240195094
70,2.23652852807823
72,2.10220134803958
74,1.98823450425636
76,1.90277021390385
78,1.85497695908027
80,1.8520097071568
82,1.89606781837383
84,1.9826382091954
86,2.10058918027582
88,2.23393138890048
90,2.36436465668031
92,2.47361837949846
94,2.54497824317742
96,2.56387775782368
98,2.51773551840509
100,2.39529853825062
102,2.1856993768596
104,1.87734224294081
106,1.45664795117344
108,0.906621461477647
110,0.205161993829731
112,-0.676949286513058
114,-1.77818272034832
116,-3.14694429216776
118,-4.83303691076574
120,-6.83521839282241
122,-8.87854883702033
124,-9.94615382703216
126,-9.05622045743297
128,-7.09497922082535
130,-5.14723061596187
132,-3.53534281466284
134,-2.2772515155187
136,-1.330379603594
138,-0.650546324159237
140,-0.201845928571928
142,0.0438781033416378
144,0.109296877111143
146,0.0139275190335432
148,-0.223519470769318
150,-0.582415985465687
152,-1.03663641519879
154,-1.54978129784877
156,-2.06970834675299
158,-2.52525128031403
160,-2.83179843853018
162,-2.91274592721797
164,-2.73150708763237
166,-2.30986546240962
168,-1.71429504193879
170,-1.02383462899917
172,-0.305409092302146
174,0.394500438186533
176,1.04780875783836
178,1.63968391128226
180,2.16387035834574
