"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,3.54058087293845
-178,2.98077221673661
-176,2.40141797549185
-174,1.80334901581316
-172,1.18664068847733
-170,0.550365971568184
-168,-0.107624598357483
-166,-0.790839799429129
-164,-1.504138807095
-162,-2.25352222966823
-160,-3.0456871142066
-158,-3.88732412847285
-156,-4.78412590471612
-154,-5.73942451284027
-152,-6.7522716056985
-150,-7.81462506799454
-148,-8.90719059912624
-146,-9.99369550490349
-144,-11.0147804793628
-142,-11.8865287160991
-140,-12.5137554925812
-138,-12.8246731951317
-136,-12.8101360738218
-134,-12.5315424264695
-132,-12.0891595250037
-130,-11.5829642952638
-128,-11.09229347863
-126,-10.6734871246092
-124,-10.3649272006299
-122,-10.1926719522016
-120,-10.1744607202951
-118,-10.3218103524779
-116,-10.6402051561654
-114,-11.1269919517954
-112,-11.7659878262935
-110,-12.5175811306157
-108,-13.3052963267263
-106,-14.0089515533312
-104,-14.4899677565109
-102,-14.6641440099288
-100,-14.5670640868885
-98,-14.331829248748
-96,-14.1096821489357
-94,-14.019512653781
-92,-14.143328333863
-90,-14.5407686773762
-88,-15.2633656958251
-86,-16.3597520008193
-84,-17.8535240820369
-82,-19.6184971644909
-80,-20.9855640199302
-78,-20.7060170681468
-76,-18.8769350013867
-74,-16.7451282495682
-72,-14.9003003765936
-70,-13.4389628974312
-68,-12.3307106269833
-66,-11.528448674663
-64,-10.9899906237392
-62,-10.6785401144943
-60,-10.55821822331
-58,-10.5880577632418
-56,-10.7156729640255
-54,-10.8731869049833
-52,-10.9810685889936
-50,-10.9659716847948
-48,-10.7887921376451
-46,-10.4628239597281
-44,-10.044342541427
-42,-9.6043823963824
-40,-9.20436080487171
-38,-8.88569331114337
-36,-8.66934828516641
-34,-8.55860843151202
-32,-8.54138050181996
-30,-8.59144531685132
-28,-8.67004179674708
-26,-8.73042593101682
-24,-8.7277219167053
-22,-8.63283005918262
-20,-8.44360322220007
-18,-8.18551275494678
-16,-7.90134073280576
-14,-7.63732398772022
-12,-7.43302777892521
-10,-7.31679799926173
-8,-7.30475683761491
-6,-7.40068562946082
-4,-7.59504681629074
-2,-7.86258117646822
0,-8.15947834647348
2,-8.42364261406849
4,-8.58410453196529
6,-8.58306534254895
8,-8.40152389593345
10,-8.06825945630548
12,-7.6435492414291
14,-7.19257117074005
16,-6.76696488117717
18,-6.39893489676257
20,-6.10274761770583
22,-5.87834107190005
24,-5.71467985390552
26,-5.59261450830535
28,-5.48791887130353
30,-5.37523123993027
32,-5.2329698892185
34,-5.04817480179899
36,-4.81942939193196
38,-4.55647936390394
40,-4.27680478091643
42,-4.00085578820796
44,-3.74779833755606
46,-3.53269697300212
48,-3.36507673334041
50,-3.24833426924375
52,-3.17947751343576
54,-3.14892528579551
56,-3.1404354510457
58,-3.13158708456393
60,-3.09551542532133
62,-3.00452232240271
64,-2.83541622091188
66,-2.57505553384205
68,-2.22360186162718
70,-1.79374008377775
72,-1.30638163780287
74,-0.785169049403475
76,-0.252036682435576
78,0.275230182882265
80,0.783683890722487
82,1.26485386552227
84,1.71396164938528
86,2.12908782527104
88,2.51045504809453
90,2.85986535496515
92,3.18027239012513
94,3.47545150429676
96,3.74973172729795
98,4.00776127280129
100,4.25428676919295
102,4.49393394081984
104,4.73098430355119
106,4.96914976411741
108,5.21135553349773
110,5.4595505898517
112,5.71457126418562
114,5.97608374441926
116,6.24262310224987
118,6.51173085484808
120,6.78017465915831
122,7.04421867943644
124,7.29990622998289
126,7.5433187246043
128,7.77078450806421
130,7.97902375090573
132,8.16522745484992
134,8.32707744234195
136,8.46271937180957
138,8.57070286526034
140,8.64990274827813
142,8.69943410630252
144,8.71857196126324
146,8.70668414591282
148,8.66318347017409
150,8.5875025615853
152,8.47909192921891
154,8.33743907986452
156,8.1621042171983
158,7.95276646684078
160,7.70927385816274
162,7.4316904504301
164,7.12033485337892
166,6.775805706792
168,6.39899117929689
170,5.9910609787976
172,5.55344051270081
174,5.08776745834591
176,4.59583083651309
178,4.07949150600706
180,3.54058087293845
