"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,6.44328751179477
-178,6.04311486767591
-176,5.5714850874069
-174,5.03804675977931
-172,4.45666101785585
-170,3.8463012319953
-168,3.23116106655635
-166,2.63906931989675
-164,2.09742952375797
-162,1.62697226780294
-160,1.23551704792697
-158,0.915147885231704
-156,0.644907395556291
-154,0.39798442886418
-152,0.150396944195722
-150,-0.111157037603199
-148,-0.382851119609616
-146,-0.638719946766635
-144,-0.82895873285703
-142,-0.886848419299185
-140,-0.749786995494404
-138,-0.389086799065757
-136,0.172670578291729
-134,0.872690506963174
-132,1.63610398094675
-130,2.39852903499152
-128,3.11434380059578
-126,3.75532133567666
-124,4.3061126658851
-122,4.75999781610365
-120,5.11584996124351
-118,5.37622252298189
-116,5.54622852541231
-114,5.63291362141622
-112,5.64490415129834
-110,5.59217323139957
-108,5.48580470556744
-106,5.33765923737097
-104,5.15987642002257
-102,4.96419701121064
-100,4.76116442979113
-98,4.55934734663064
-96,4.36477664962303
-94,4.18076921898619
-92,4.00820808570242
-90,3.84620377552594
-88,3.69294403778782
-86,3.54650031460957
-84,3.40540358788074
-82,3.2688962755814
-80,3.13686968891568
-78,3.00957995503252
-76,2.88728458249882
-74,2.76994915235823
-72,2.65713664013661
-70,2.54811894291618
-68,2.44216299976731
-66,2.33887110694619
-64,2.2384203177662
-62,2.14156003538985
-60,2.04928825962628
-58,1.96222339457357
-56,1.87979596318003
-54,1.79946494048696
-52,1.71617539826641
-50,1.62219993509362
-48,1.50737403820479
-46,1.35960898143183
-44,1.16550292695006
-42,0.910886273250094
-40,0.581202361027326
-38,0.161697100597658
-36,-0.362556122682896
-34,-1.00673831902505
-32,-1.78638418859844
-30,-2.71733373094291
-28,-3.81515827003934
-26,-5.09311318758327
-24,-6.55620861337536
-22,-8.1855480484059
-20,-9.90118367727794
-18,-11.4952937400963
-16,-12.600663173139
-14,-12.9014476483726
-12,-12.4806540840906
-10,-11.7039972893712
-8,-10.8647836934679
-6,-10.0979380432248
-4,-9.44532049410848
-2,-8.91216623682107
0,-8.49382112759272
2,-8.18576191132899
4,-7.98620991233086
6,-7.8956636619192
8,-7.91519060049421
10,-8.04419054099813
12,-8.27781741395937
14,-8.60407777250051
16,-9.00083749276236
18,-9.4337022396135
20,-9.85693585784562
22,-10.2202292178267
24,-10.4818503192237
26,-10.622544391156
28,-10.6502276852776
30,-10.5910630212366
32,-10.473637131975
34,-10.3167804845665
36,-10.1263604919808
38,-9.90024874213728
40,-9.63751663052867
42,-9.34681740473956
44,-9.04974499657647
46,-8.77811686713468
48,-8.56758612988926
50,-8.45087588727135
52,-8.45212675576494
54,-8.58143270781209
56,-8.82711091565668
58,-9.14339377500928
60,-9.43577674156976
62,-9.56073759637023
64,-9.37250568806101
66,-8.81420992610932
68,-7.96131261736711
70,-6.95882398549818
72,-5.93537875267347
74,-4.96995831335189
76,-4.098920203866
78,-3.33216678492937
80,-2.66556602113982
82,-2.0884042088873
84,-1.58748678486573
86,-1.14932536525597
88,-0.761265001204472
90,-0.412004483116678
92,-0.0917581448175787
94,0.207778237662103
96,0.493528750513888
98,0.771101714693167
100,1.04474938258189
102,1.31720691652633
104,1.58945170375134
106,1.86046869142883
108,2.12712173458752
110,2.38420699273027
112,2.62471107157821
114,2.84023714384639
116,3.02152212576802
118,3.1589612397496
120,3.24308100444711
122,3.26494600285938
124,3.21653762768654
126,3.09120201576796
128,2.88433815460439
130,2.59460203535135
132,2.22604930397397
134,1.79178421432776
136,1.31958672270184
138,0.858908976552363
140,0.485190504608602
142,0.291682142116686
144,0.359027659279504
146,0.713395571499338
148,1.30997110751238
150,2.05990836830465
152,2.87199046551581
154,3.67672364766665
156,4.42981415040453
158,5.10629992895264
160,5.69360263435679
162,6.18632194636857
164,6.58293235756094
166,6.8838503804218
168,7.09036256365304
170,7.20406940592156
172,7.22664132661602
174,7.1597771812158
176,7.00531478401155
178,6.76548023290735
180,6.44328751179477
