"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,-0.250567813693179
-178,-1.03967810425441
-176,-1.98503628708748
-174,-3.09988478652903
-172,-4.38412234006617
-170,-5.79888963966865
-168,-7.21007719764343
-166,-8.31360093180701
-164,-8.70390894436925
-162,-8.25333319430139
-160,-7.27727794285846
-158,-6.16309722525646
-156,-5.12820590248217
-154,-4.2533296679383
-152,-3.55587899212655
-150,-3.02948914397826
-148,-2.6596364138783
-146,-2.42846478518305
-144,-2.31509222579028
-142,-2.29396045071571
-140,-2.33259053741884
-138,-2.39027260491478
-136,-2.41996929191185
-134,-2.37569312359074
-132,-2.22482738656861
-130,-1.95953185401545
-128,-1.59913037711996
-126,-1.18128002226482
-124,-0.748174609845312
-122,-0.335553042953745
-120,0.0325171280053791
-118,0.344394993848959
-116,0.59947615692968
-114,0.806125718821217
-112,0.97937252097513
-110,1.13821350774737
-108,1.30230810285122
-106,1.48823175030595
-104,1.70607095315522
-102,1.95748825351677
-100,2.23601197637938
-98,2.52933735629963
-96,2.8225810746192
-94,3.10129504547215
-92,3.35352360334065
-90,3.57078271389793
-88,3.74819728028921
-86,3.88411694144476
-84,3.97946613909618
-82,4.03698875835678
-80,4.06047920820501
-78,4.05406149739189
-76,4.02157417610111
-74,3.966123264508
-72,3.88986007288239
-70,3.79401597156011
-68,3.67918235579863
-66,3.54577156206104
-64,3.39454710845529
-62,3.22707988779266
-60,3.04597646412023
-58,2.85474178220548
-56,2.65719166364889
-54,2.45643151797211
-52,2.25356022010513
-50,2.04639636210877
-48,1.82857792785303
-46,1.58929317700066
-44,1.31368182411479
-42,0.983714774786962
-40,0.579244512910057
-38,0.0789697992230774
-36,-0.538745826912442
-34,-1.29493524073058
-32,-2.20811885746253
-30,-3.28930408772989
-28,-4.52887330033875
-26,-5.86512890881542
-24,-7.12477957385596
-22,-7.97904022547643
-20,-8.09598130896377
-18,-7.48540373531687
-16,-6.48394626136865
-14,-5.40933717538127
-12,-4.42447869209824
-10,-3.58617171284815
-8,-2.90361910543849
-6,-2.36876549501679
-4,-1.96881956221151
-2,-1.6907762294113
0,-1.5225958097974
2,-1.45290335985286
4,-1.46988500359385
6,-1.55960955225742
8,-1.70392588767115
10,-1.87830435612956
12,-2.0505318512355
14,-2.18189482123068
16,-2.23265001221388
18,-2.17183037266352
20,-1.98753805547985
22,-1.6912747422436
24,-1.31299248776324
26,-0.890291355921314
28,-0.458235686867973
30,-0.0436090023144546
32,0.336443079437179
34,0.673148531170959
36,0.963822697208703
38,1.209467125338
40,1.41265754313798
42,1.57590136019193
44,1.70057525735912
46,1.78651756254142
48,1.83229357435658
50,1.83607955401165
52,1.7970527704561
54,1.71714393167846
56,1.60297319390183
58,1.46767657846389
60,1.332057171592
62,1.22409309815724
64,1.17563546113843
66,1.21584833022762
68,1.3630287311463
70,1.61868788975332
72,1.96744913877877
74,2.38270067761401
76,2.83440241391976
78,3.29525246579434
80,3.74370986369956
82,4.16442169285341
84,4.54727137100654
86,4.88602259161943
88,5.17708241498519
90,5.41857253063245
92,5.60972073661708
94,5.7505138710447
96,5.84153747998378
98,5.88393485947362
100,5.8794326499776
102,5.83039444095507
104,5.73987481753437
106,5.6116532224037
108,5.450230589364
110,5.26077361403839
112,5.04899416367615
114,4.8209572888861
116,4.58282238915304
118,4.34053797530711
120,4.09952773841471
122,3.864418241317
124,3.63886037302883
126,3.42548497365938
128,3.22601007713124
130,3.04148865628617
132,2.87265649436067
134,2.72031187218847
136,2.58563389159802
138,2.47033152931135
140,2.37652621048589
142,2.30632440823237
144,2.26113733493013
146,2.24092395006748
148,2.2436097146129
150,2.26490469693478
152,2.29860142994178
154,2.33724241889799
156,2.37291129938472
158,2.39788299737558
160,2.4049545238848
162,2.38740880083627
164,2.33867961426951
166,2.25185418044666
168,2.11916427509121
170,1.93158582701949
172,1.67860744676927
174,1.348163410802
176,0.926680278604036
178,0.399179483869574
180,-0.250567813693179
